Boromir,,884,1089495,1
Veje,,668,1089494,2
Aijnbee,,853,1089491,1
Lerta,,887,1089488,8
Asal,,890,1089478,4
Natalian,,881,1089473,0
Mara,,620,1089461,2
Korealolo,,697,1089454,3
Chinaclara,,921,1089454,3
Peshta,,1119,1089449,1
Chop,,905,1089438,1
Chinasw,,1010,1089429,1
Xxxxx,,561,1089420,4
Asheshe,,785,1089415,3
Nada,,648,1089408,1
Rubikon,,646,1089401,1
Megazor,,1106,1079576,1
Chinachris,,917,1079544,3
Atheena,,617,1079543,1
Isuma,,855,1079507,2
Heavyscorp,,894,1079501,7
Coshina,,1122,1079485,2
Hulkriss,,966,1079482,8
Onras,,781,1079477,4
Hawkeye,,867,1079473,1
Oroven,,956,1079472,0
Mengle,,862,1079459,1
Koreamoo,,768,1079458,0
Geldjager,,1041,1079455,0
Luzem,,907,1079454,7
Ometha,,863,1079450,12
Emijig,,548,1079439,3
Morti,,543,1079434,3
Nordije,,492,1079431,0
Chinakiki,,830,1079411,2
Feijiang,,869,1079406,17
Lucretia,,796,1079405,7
Baragoz,,907,1069555,1
Koreamulan,,613,1069527,4
Jackino,,822,1069503,1
Zurune,,984,1069503,1
Rosa,,547,1069501,1
Dtgold,,896,1069478,4
Arannil,,817,1069472,5
Nudrina,,860,1069469,2
Aram,,1005,1069466,3
Boringgame,,996,1069459,2
Teryx,,890,1069458,0
Kitsch,,917,1069423,4
Arig,,820,1069421,3
Ashikrim,,589,1069416,1
Sepp,,651,1069415,3
Isice,,788,1069407,6
Ibrave,,899,1069406,5
Frblanzin,,998,1069406,2
Blacky,,664,1059702,0
Agorzez,,1051,1059692,1
Vicky,,740,1059675,0
Erzhan,,819,1059654,3
Koreamir,,791,1059648,2
Ohejok,,798,1059630,1
Lurkat,,826,1059583,3
Viti,,700,1059578,1
Neal,,783,1059577,0
Unye,,692,1059576,0
Kirtese,,551,1059571,5
Cefriha,,895,1059568,3
Dunphil,,758,1059546,1
Zitug,,575,1059542,0
Mohi,,526,1059505,5
Delete,,727,1059497,1
Emina,,863,1059491,6
Chinaxz,,567,1059487,3
Ooooo,,487,1059481,0
Sony,,581,1059478,4
Djura,,496,1059459,2
Gaja,,906,1049617,3
Arikk,,785,1049568,2
Sorcam,,850,1049536,3
Zzzz,,587,1049528,1
Rukakoou,,726,1049516,4
Confrico,,924,1049510,1
Cathirgi,,1037,1049507,0
Constandin,,790,1049496,2
Reha,,858,1049492,3
Darci,,536,1049481,8
Akmx,,533,1049460,8
Jevil,,585,1049451,9
Murka,,795,1049442,3
Obrushe,,874,1049401,6
Sini,,911,1039626,0
Sini,,847,1039574,1
Richtgun,,632,1039552,7
Gregory,,1000,1039546,1
Rucisa,,759,1039542,3
Acil,,847,1039537,5
Onetwo,,612,1039527,1
Hinomoto,,852,1039522,4
Tele,,480,1039517,2
Koreassan,,627,1039516,3
Innus,,535,1039516,2
Korean,,1003,1039514,1
Dide,,423,1039514,2
Jane,,930,1039510,7
Thanphong,,1061,1039493,0
Bang,,480,1039488,1
Rishe,,881,1039485,1
Milano,,884,1039482,0
Korean,,947,1039479,5
Rawrtastic,,843,1039477,1
Rogithi,,385,1039474,2
Bici,,509,1039468,5
Kiss,,643,1039460,1
Sanca,,763,1039459,4
Chinahero,,1001,1039457,2
Ecem,,750,1039441,7
Kemir,,338,1039435,1
Aroni,,630,1039433,4
Alamarama,,555,1039431,2
Koreabal,,891,1039425,0
Rubaka,,566,1039423,1
Loke,,564,1039422,1
Anot,,768,1039417,3
Muskat,,592,1039410,0
Acer,,602,1039408,1
Marduk,,605,1039400,0
Koreananu,,493,1029646,6
Krizsi,,923,1029635,2
