Shade,,396,1039560,6
Calitriel,,660,1039552,2
Rasta,,795,1039551,3
Irzorta,,449,1039546,0
Ozymandius,,672,1039540,0
Koreadin,,749,1039530,0
Arthur,,743,1039526,8
Magikarp,,609,1039518,1
Father,,1125,1039517,3
Ibon,,487,1039514,5
Cothena,,470,1039514,2
Koreamax,,906,1039500,1
Dprueba,,716,1039498,2
Abrutin,,501,1039495,0
Vihit,,784,1039480,1
Chinapp,,524,1039478,4
Liena,,359,1039477,2
Akteria,,942,1039465,1
Machodre,,693,1039452,0
Blaze,,589,1039436,1
Koreahanel,,730,1029592,3
Chinablack,,652,1029583,1
Laica,,428,1029561,1
Rogan,,983,1029531,0
Vanja,,680,1029487,0
Dere,,404,1029469,1
Anqnf,,585,1029414,0
Spaznutz,,754,1029411,11
Cishe,,496,1019642,2
Kratzke,,610,1019528,3
Dithanri,,680,1019494,0
Asdruwarr,,825,1019485,1
Colonic,,409,1019440,4
Denf,,1012,1009861,0
Chinadark,,538,1009783,0
Tyrian,,443,1009719,0
Koreadohee,,875,1009710,0
Eddard,,872,1009706,0
Lamonda,,500,1009700,0
Nirnrut,,898,1009686,1
Khpaddy,,812,1009674,0
Koreana,,456,1009648,1
Lukecage,,699,1009638,0
Rugreen,,556,1009636,7
Mesivo,,760,1009633,3
Weaponsux,,743,1009633,0
Koreabox,,1022,1009629,3
Yungelon,,835,1009627,2
Chinadtj,,312,1009619,1
Xiaojuan,,359,1009605,3
Balmond,,325,1009602,3
Erza,,742,1009593,1
Gemstones,,1002,1009585,0
Baby,,793,1009584,1
Tigratha,,466,1009578,0
Stukatel,,734,1009577,1
Zjiangmian,,483,1009564,6
Sukobre,,309,1009563,0
China,,421,1009559,3
Nusoji,,695,1009552,4
Callmebaby,,864,1009539,2
Reve,,789,1009535,10
Hotot,,504,1009529,4
Omarkez,,366,1009522,0
Micladre,,547,1009504,7
Moca,,372,1009483,1
Rercul,,655,1009480,4
Argeti,,664,1009471,1
Acarka,,715,1009447,11
Fate,,516,999511,0
Ichym,,829,999401,2
Ilvuthreek,,602,989595,3
Icuga,,606,989587,1
Zoka,,354,989584,0
Hohat,,283,989578,3
Jilarka,,425,989573,4
Gulli,,422,989566,3
Ally,,780,989541,1
Alice,,296,989532,1
Svarog,,699,989527,1
Huga,,501,989522,4
Ennal,,315,989518,0
Ceri,,384,989515,6
Metan,,729,989512,4
Vnvn,,540,989506,1
Sauzer,,617,989503,1
Tonyc,,609,989499,2
Bulkathos,,464,989485,5
Ishus,,720,989483,6
Eket,,670,989480,0
Minmi,,429,989460,2
Goki,,436,989452,3
Orgy,,472,989450,5
Owen,,393,989449,13
Amira,,446,989447,2
Ruvictor,,688,989445,2
Ihatemages,,412,989435,1
